Group1,Group2,Df,Df_residual,SumOfSqs,SumOfSqs_residual,R2,F,P,P_adjusted_holm
B,C,1.0,32.0,102.78427555003239,246.19595910204916,0.2945274985344197,13.359670197664347,0.0001,0.0006000000000000001
B,D,1.0,32.0,172.7460749887021,248.09771865605478,0.4104755198897401,22.281036801075643,0.0001,0.0006000000000000001
B,E,1.0,23.0,101.44406503557965,190.22823914611072,0.3478015004550705,12.26533718806194,0.0004,0.0016
C,D,1.0,24.0,26.03095283897037,151.1277499633389,0.14693578371940447,4.133872622909037,0.0069,0.014100000000000001
C,E,1.0,15.0,29.633011639121953,93.25827045339489,0.24113192681001727,4.766281557933914,0.0047,0.014100000000000001
D,E,1.0,15.0,6.243825854899979,95.1600300074005,0.06157385043995437,0.9842093136815537,0.3674,0.3674
