"Sample","Scanner Modality","Creator","Event date","Study Date and Time (log)","Software","Description","Description attachment file","Photographic reference file","Filter","Exposure time","Flux normalization","Pixel spacing calibration","Shading correction","Frame averaging","Projections","Voltage","Power","Amperage","Surrounding material","X-ray tube type","Target type","Detector type","Detector pixels X","Detector pixels size X","Detector pixels Y","Detector pixels size Y","Detector configuration","Source object distance","Source detector distance","Target material","Rotation number","Phase contrast","Optical magnification","Acquisition type","Log file","Notes"
"NMMB-M011917","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/23","23 Mar 2023  13h:46m:32s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","1029","45 kV","9 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","36.522 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","4.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011917\NMMB-M011917.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011918","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/28","28 Mar 2023  14h:12m:52s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","565","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","3712","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344","68.143 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 226 deg acquisition coverage","Not recorded in log","1.163x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011918\9. NU0249_rec_Tra.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011919","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/27","27 Mar 2023  11h:10m:15s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","68.180 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.162x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011919\NMMB-M011919.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011920","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/24","24 Mar 2023  14h:35m:45s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","68.180 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.162x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011920\NMMB-M011920.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011921","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/23","23 Mar 2023  14h:55m:16s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","1029","45 kV","9 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","36.522 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","4.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011921\NMMB-M011921.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011922","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/24","24 Mar 2023  13h:59m:18s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","68.180 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.162x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011922\NMMB-M011922.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011923","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/28","28 Mar 2023  11h:02m:29s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 565 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.068223 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","565","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","3712","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344","68.143 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 226 deg acquisition coverage","Not recorded in log","1.163x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011923\NMMB-M011923.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011924","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/03/24","24 Mar 2023  10h:20m:45s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 45 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","1029","45 kV","9 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","36.522 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","4.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011924\NMMB-M011924.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011925","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/06/29","29 Jun 2023  09h:50m:01s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 4.038033 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","1029","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","36.522 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","4.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011925\NMMB-M011925.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011926","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2023/06/28","28 Jun 2023  10h:51m:06s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 15.076395 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","68.180 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.162x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011926\NMMB-M011926.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
