Sample,NMMB-M011879,NMMB-M011880,NMMB-M011881,NMMB-M011882,NMMB-M011883,NMMB-M011885,NMMB-M011886,NMMB-M011887,NMMB-M011888,NMMB-M011889,NMMB-M011891,NMMB-M011892,NMMB-M011893,NMMB-M011894,NMMB-M011895,NMMB-M011896,NMMB-M011897,NMMB-M011898,NMMB-M011899,NMMB-M011900,NMMB-M011901,NMMB-M011902,NMMB-M011903,NMMB-M011904,NMMB-M011905,NMMB-M011906,NMMB-M011907,NMMB-M011908,NMMB-M011909,NMMB-M011910,NMMB-M011911,NMMB-M011912,NMMB-M011913,NMMB-M011914,NMMB-M011915,NMMB-M011916,NMMB-M011917,NMMB-M011918,NMMB-M011919,NMMB-M011920,NMMB-M011921,NMMB-M011922,NMMB-M011923,NMMB-M011924,NMMB-M011925,NMMB-M011926,NMMB-M011927,NMMB-M011928,NMMB-M011929,NMMB-M011930,NMMB-M011931,NMMB-M011932,NMMB-M011933,NMMB-M011934
Flux normalization,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,Reference Intensity=58000; Flat Field Correction=ON,,Reference Intensity=58000; Flat Field Correction=ON
Pixel spacing calibration,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=8.076066 um; Scaled Image Pixel Size=8.076066 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=11.075948 um; Scaled Image Pixel Size=11.075948 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=20.524122 um; Scaled Image Pixel Size=20.524122 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um,Image Pixel Size=12.076514 um; Scaled Image Pixel Size=12.076514 um,Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um,Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size=15.068223 um; Scaled Image Pixel Size=15.068223 um,Image Pixel Size=4.038033 um; Scaled Image Pixel Size=4.038033 um,Image Pixel Size= um; Scaled Image Pixel Size= um,Image Pixel Size=15.076395 um; Scaled Image Pixel Size=15.076395 um
Shading correction,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,Flat Field Correction=ON; Heel Effect Correction On=0,,Flat Field Correction=ON; Heel Effect Correction On=0
Frame averaging,ON (3),ON (3),ON (3),ON (3),ON (3),ON (2),ON (3),ON (2),ON (2),ON (2),ON (2),ON (3),ON (3),ON (2),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),ON (3),,ON (3)
Projections,516,516,516,516,516,1029,516,1029,516,1029,516,516,516,516,516,516,516,516,516,1029,516,516,1029,516,1029,1029,516,516,516,516,516,516,565,516,516,516,1029,565,516,516,1029,516,565,1029,1029,516,1029,1029,1029,1029,565,1029,,516
Voltage,50 kV,50 kV,40 kV,50 kV,60 kV,50 kV,60 kV,50 kV,50 kV,50 kV,50 kV,50 kV,60 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,45 kV,50 kV,50 kV,50 kV,45 kV,50 kV,50 kV,45 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,50 kV,,50 kV
Power,10 W (calculated from kV x mA),10 W (calculated from kV x mA),8 W (calculated from kV x mA),10 W (calculated from kV x mA),12 W (calculated from kV x mA),10 W (calculated from kV x mA),12 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),12 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),9 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),9 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),9 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),10 W (calculated from kV x mA),,10 W (calculated from kV x mA)
Amperage,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,200 uA,,200 uA
Surrounding material,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log
X-ray tube type,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,HAMAMATSU L10321; source spot size=Small,,HAMAMATSU L10321; source spot size=Small
Target type,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log
Detector type,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,XIMEA MH110XC-KK-TP,,XIMEA MH110XC-KK-TP
Detector pixels X,2016,2016,2016,2016,2016,4032,2016,4032,2016,4032,2016,2016,2016,2016,2016,2016,2016,2016,2016,4032,2016,2016,4032,2016,4032,4032,2016,2016,2016,2016,2016,2016,3712,2016,2016,2016,4032,3712,2016,2016,4032,2016,3712,4032,4032,2016,4032,4032,4032,4032,3712,4032,,2016
Detector pixels size X,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,,17.525 um
Detector pixels Y,1344,1344,1344,1344,1344,2688,1344,2688,1344,2688,1344,1344,1344,1344,1344,1344,1344,1344,1344,2688,1344,1344,2688,1344,2688,2688,1344,1344,1344,1344,1344,1344,1344,1344,1344,1344,2688,1344,1344,1344,2688,1344,1344,2688,2688,1344,2688,2688,2688,2688,1344,2688,,1344
Detector pixels size Y,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,17.525 um,,17.525 um
Detector configuration,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=3712; Rows=1344,Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688,Camera binning=; Image format=; Depth= bits; Columns=; Rows=,Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344
Source object distance,45.568 mm,36.522 mm,45.568 mm,59.134 mm,59.134 mm,45.568 mm,59.134 mm,45.568 mm,59.134 mm,45.568 mm,45.568 mm,50.088 mm,59.134 mm,45.568 mm,92.816 mm,45.568 mm,45.568 mm,59.134 mm,45.568 mm,45.568 mm,45.568 mm,45.568 mm,45.568 mm,45.568 mm,45.568 mm,45.568 mm,54.613 mm,59.134 mm,45.568 mm,68.180 mm,68.180 mm,68.180 mm,68.143 mm,68.180 mm,68.180 mm,68.180 mm,36.522 mm,68.143 mm,68.180 mm,68.180 mm,36.522 mm,68.180 mm,68.143 mm,36.522 mm,36.522 mm,68.180 mm,36.522 mm,36.522 mm,36.522 mm,36.522 mm,68.143 mm,36.522 mm,,68.180 mm
Source detector distance,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,158.506 mm,,158.506 mm
Target material,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log,Not recorded in log
